Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.4815850257873535	0	17.05	6.7117434	43.0	9.0	17.05	6.711743439673479	1023	1023
5.554909706115723	1	33.0	15.441878	85.0	10.0	33.0	15.441878541914056	1023	2046
7.334429740905762	2	40.8	21.98363	96.0	10.0	40.8	21.983630273455745	1020	3066
9.105889797210693	3	67.0	43.962105	156.0	22.0	67.0	43.96210489349511	1005	4071
10.93744945526123	4	70.26667	28.407667	137.0	33.0	70.26666666666667	28.407667196648788	1054	5125
12.875956296920776	5	88.666664	38.73485	200.0	43.0	88.66666666666667	38.73485367067867	1064	6189
14.710291385650635	6	107.0	41.393238	200.0	53.0	107.0	41.393236162445675	1070	7259
16.439067840576172	7	130.25	43.862713	200.0	77.0	130.25	43.86271195446082	1042	8301
18.421740531921387	8	146.0	34.95354	200.0	97.0	146.0	34.95354059319313	1168	9469
20.244576454162598	9	161.28572	22.789186	200.0	134.0	161.28571428571428	22.78918468869631	1129	10598
22.38805103302002	10	169.57143	30.008842	200.0	122.0	169.57142857142858	30.008842234329837	1187	11785
24.41538119316101	11	183.5	23.421856	200.0	147.0	183.5	23.42185589003001	1101	12886
26.284682512283325	12	173.5	22.94014	200.0	143.0	173.5	22.940139493908923	1041	13927
28.327125310897827	13	194.0	7.767453	200.0	180.0	194.0	7.767453465154029	1164	15091
32.11965227127075	14	182.66667	29.448637	200.0	119.0	182.66666666666666	29.448637018073047	1096	16187
