Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.786393880844116	0	19.82353	11.187714	59.0	9.0	19.823529411764707	11.187713643227575	1011	1011
7.483276844024658	1	15.029851	6.236556	45.0	8.0	15.029850746268657	6.236556046489674	1007	2018
9.153816223144531	2	12.0	3.097618	26.0	8.0	12.0	3.097618132571879	1008	3026
10.749277830123901	3	12.047619	3.449999	27.0	8.0	12.047619047619047	3.4499991784152293	1012	4038
12.420022964477539	4	10.6	2.300572	24.0	8.0	10.6	2.3005720112501087	1007	5045
13.950933456420898	5	10.340206	2.210036	20.0	8.0	10.34020618556701	2.2100361425329553	1003	6048
15.520756244659424	6	10.265306	2.38854	30.0	8.0	10.26530612244898	2.3885399024242235	1006	7054
17.07112717628479	7	10.131313	1.9573557	19.0	8.0	10.131313131313131	1.9573557954622325	1003	8057
18.597297191619873	8	9.786407	1.4591558	16.0	8.0	9.78640776699029	1.459155796874112	1008	9065
20.080833435058594	9	9.682693	1.0585225	14.0	8.0	9.682692307692308	1.0585224015372623	1007	10072
21.579354286193848	10	9.6	1.1920371	15.0	8.0	9.6	1.1920370719706586	1008	11080
23.05803108215332	11	9.401869	0.9750132	13.0	8.0	9.401869158878505	0.9750131854762599	1006	12086
24.515339374542236	12	9.4811325	0.79183495	12.0	8.0	9.481132075471699	0.7918348893488036	1005	13091
25.996656894683838	13	9.509434	0.8821637	12.0	8.0	9.50943396226415	0.8821637530234686	1008	14099
27.587218046188354	14	9.256881	0.9127403	12.0	8.0	9.256880733944953	0.9127403011455347	1009	15108
29.633254289627075	15	9.462264	0.82615876	12.0	8.0	9.462264150943396	0.8261587437332614	1003	16111
31.25169610977173	16	9.342592	0.771747	11.0	8.0	9.342592592592593	0.7717469005209213	1009	17120
32.8109827041626	17	9.287037	0.7823389	11.0	8.0	9.287037037037036	0.7823389187643952	1003	18123
34.38111066818237	18	9.35514	0.8344492	13.0	8.0	9.355140186915888	0.8344491321700828	1001	19124
35.97573924064636	19	9.462264	0.72910553	11.0	8.0	9.462264150943396	0.7291055298243908	1003	20127
37.48852062225342	20	9.4811325	0.7552475	11.0	8.0	9.481132075471699	0.7552474550802051	1005	21132
39.0092031955719	21	9.351851	0.7735777	11.0	8.0	9.351851851851851	0.7735777249705712	1010	22142
