Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.726875066757202	0	15.227273	5.591648	40.0	9.0	15.227272727272727	5.591648140362539	1005	1005
7.479950189590454	1	24.463415	13.974013	81.0	10.0	24.463414634146343	13.974013444780557	1003	2008
9.097492694854736	2	34.517242	17.339651	86.0	13.0	34.51724137931034	17.33965097221648	1001	3009
10.731875896453857	3	27.378378	12.737158	65.0	11.0	27.37837837837838	12.737158559943976	1013	4022
12.400056838989258	4	20.26	9.092437	58.0	8.0	20.26	9.092436417154644	1013	5035
13.97443962097168	5	16.306452	7.7138095	61.0	8.0	16.306451612903224	7.713809798179976	1011	6046
15.525415658950806	6	15.476923	7.144891	41.0	8.0	15.476923076923077	7.14489100376075	1006	7052
17.028045654296875	7	11.465909	3.2049284	28.0	8.0	11.465909090909092	3.204928249219415	1009	8061
18.525816679000854	8	10.541667	2.076238	20.0	8.0	10.541666666666666	2.076237917216832	1012	9073
19.97593355178833	9	10.46875	2.2728155	24.0	8.0	10.46875	2.2728154575694584	1005	10078
21.429123640060425	10	10.09	1.4771255	16.0	8.0	10.09	1.477125587077822	1009	11087
22.902596950531006	11	9.728155	1.2243023	15.0	8.0	9.728155339805825	1.2243022562686459	1002	12089
24.361738920211792	12	9.747573	1.1035551	15.0	8.0	9.74757281553398	1.1035551253112874	1004	13093
25.820380687713623	13	9.533334	0.9265056	14.0	8.0	9.533333333333333	0.9265056386297379	1001	14094
27.387110471725464	14	9.429907	0.83287764	12.0	8.0	9.429906542056075	0.8328775648284594	1009	15103
29.442742347717285	15	9.296296	0.71049356	11.0	8.0	9.296296296296296	0.7104935590092918	1004	16107
31.085252046585083	16	9.420561	0.86507934	13.0	8.0	9.42056074766355	0.865079361899524	1008	17115
32.69353270530701	17	9.411215	0.72283536	11.0	8.0	9.411214953271028	0.7228354219689536	1007	18122
34.247509241104126	18	9.296296	0.8080528	12.0	8.0	9.296296296296296	0.8080527492322751	1004	19126
35.84986352920532	19	9.5188675	0.7552475	11.0	8.0	9.518867924528301	0.7552474550802051	1009	20135
37.36189579963684	20	9.35514	0.78837746	11.0	8.0	9.355140186915888	0.7883774470640427	1001	21136
38.84838652610779	21	9.277778	0.83702886	11.0	8.0	9.277777777777779	0.837028842962187	1002	22138
40.331554889678955	22	9.401869	0.81870437	12.0	8.0	9.401869158878505	0.8187043911430197	1006	23144
41.78387451171875	23	9.443397	0.7278838	11.0	8.0	9.443396226415095	0.7278838373947294	1001	24145
43.22566771507263	24	9.420561	0.7616679	11.0	8.0	9.42056074766355	0.7616679088152968	1008	25153
44.77337145805359	25	9.411215	0.78482413	11.0	8.0	9.411214953271028	0.7848241785127856	1007	26160
46.30973672866821	26	9.420561	0.7108949	11.0	8.0	9.42056074766355	0.7108949628312753	1008	27168
48.16148281097412	27	9.342592	0.77174693	11.0	8.0	9.342592592592593	0.7717469005209212	1009	28177
49.62446331977844	28	9.268518	0.83451563	11.0	8.0	9.268518518518519	0.8345156222211411	1001	29178
51.31130528450012	29	9.392524	0.7331535	11.0	8.0	9.392523364485982	0.733153594671222	1005	30183
52.797144412994385	30	9.420561	0.7616679	11.0	8.0	9.42056074766355	0.7616679088152968	1008	31191
54.31942582130432	31	9.392524	0.72029334	11.0	8.0	9.392523364485982	0.7202934156260821	1005	32196
57.42881107330322	32	9.342592	0.75965446	11.0	8.0	9.342592592592593	0.7596543687395804	1009	33205
58.97202444076538	33	9.392524	0.77044713	11.0	8.0	9.392523364485982	0.7704472465616804	1005	34210
60.43502593040466	34	9.35514	0.76430094	11.0	8.0	9.355140186915888	0.7643008710377897	1001	35211
62.000014781951904	35	9.443397	0.74073124	11.0	8.0	9.443396226415095	0.7407312638661736	1001	36212
63.56371450424194	36	9.45283	0.71549	11.0	8.0	9.452830188679245	0.715490008522964	1002	37214
65.11872959136963	37	9.383178	0.6787132	11.0	8.0	9.383177570093459	0.6787131833781423	1004	38218
66.85424566268921	38	9.401869	0.59373385	11.0	8.0	9.401869158878505	0.5937338382904146	1006	39224
68.41969323158264	39	9.314815	0.7155436	11.0	8.0	9.314814814814815	0.7155436698652465	1006	40230
69.97762560844421	40	9.296296	0.72340834	11.0	8.0	9.296296296296296	0.7234083327638745	1004	41234
71.5476303100586	41	9.373832	0.7172555	11.0	8.0	9.373831775700934	0.7172554711906503	1003	42237
73.24601316452026	42	9.35514	0.76430094	11.0	8.0	9.355140186915888	0.7643008710377897	1001	43238
74.90590047836304	43	9.364486	0.74121046	11.0	8.0	9.36448598130841	0.7412104694915271	1002	44240
76.61077952384949	44	9.247706	0.75608796	11.0	8.0	9.247706422018348	0.7560879918545511	1008	45248
78.2086455821991	45	9.277778	0.79154485	11.0	8.0	9.277777777777779	0.791544824931945	1002	46250
79.88010168075562	46	9.324074	0.7677372	11.0	8.0	9.324074074074074	0.7677372199896758	1007	47257
81.42555117607117	47	9.552381	0.6616135	11.0	8.0	9.552380952380952	0.6616135022079395	1003	48260
82.94221496582031	48	9.6	0.6264032	11.0	8.0	9.6	0.626403186758299	1008	49268
84.62659430503845	49	9.296296	0.8080527	11.0	8.0	9.296296296296296	0.8080527492322751	1004	50272
86.37505054473877	50	9.5188675	0.767637	11.0	8.0	9.518867924528301	0.7676370515637114	1009	51281
87.90364027023315	51	9.305555	0.787146	11.0	8.0	9.305555555555555	0.7871459619613752	1005	52286
89.4083890914917	52	9.256881	0.81728643	11.0	8.0	9.256880733944953	0.8172865119750492	1009	53295
